id;user_id;order_id;message;type;is_read
61257d30-cc2b-44db-8d22-7cdd5d550f19;ace2aac9-aa6e-460d-8af6-174f4ff274d4;1256ba6d-40e2-4eda-9707-d5b6a07866d4;schemas;Specialist 1080p Spur;false
0df2025f-04b7-4c5c-b498-7c0ca7a89068;8b1c262a-a7ee-495e-8a78-16bec6bea041;8bd9a904-209c-460c-bb8e-2f70e3aa386d;multi-byte;partnerships;false
00b4bf1f-6b2e-41b6-93b3-1e2a9d6b2e4c;37a0f47b-9969-41e6-8a33-b7aa33268a0a;4a6b01d8-2195-4f38-abaf-ecebb61ade7a;wireless Legacy THX;bandwidth Germany lime;true
275117d7-8f76-4b90-8197-b901e81cc778;012143a7-c5a0-4da4-8553-43534a72f78e;440959de-6bf0-4734-af09-711f4febbdfc;Plastic;Village initiatives French;false
4e926bab-0898-4c53-b7f4-387c49b892c7;952da3d3-0b39-46c0-a07b-0d5d80743e95;07a042b9-43e2-44ee-9c21-095cd62666cc;impactful Fresh;Specialist cross-platform;true
c563813c-cfae-40c3-8b2b-cc3b359df4b3;cb7a5ec3-e3cd-4ed6-acf3-de5bfd3f1010;8efa449b-f259-460e-a183-27619cf374e8;Steel Synergistic;Tokelau;false
9997c7e9-0d7e-4d96-aa7e-49a2fd4a56a3;e97236e7-9d37-4c42-8b38-e9fe4e1e8e9d;4cf4c3fb-95dc-4d7a-ae79-11e8b4feb3a5;syndicate;Intranet line;true
00c91c2c-cea6-48fb-aab3-8f8a43375f27;5328ee58-deec-46c3-af83-e738d37284a6;6a528408-948d-43c1-a9b3-d20e934e4072;Handcrafted;1080p Zambian;true
6da9a05c-f220-4950-a449-8eba4568b0e4;48703233-f36b-46f1-8b34-af24c4645ac2;49061dc0-ae9d-4a94-b633-56f316cf3ecf;incubate;Pants Harbors Central;true
86e6562f-7032-45af-ae73-684d8d212223;6eefa296-22cf-441a-b2b3-144f81c46052;3f71bfdf-1209-4f39-8cb2-41a6448f2625;Quality Italy B2C;Movies generate Future;true
